client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
10,train,client_010_train.npz,client_010_val.npz,,user_1011.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5868,2,109,81,23,0,4,5,5,"[0, 0, 0, 17, 12, 0, 0, 0, 35, 17, 0]","[0, 0, 0, 5, 3, 0, 0, 0, 10, 5, 0]","[3, 4, 8, 9]","[3, 4, 8, 9]",[],[],[],"[3, 4, 8, 9]","[3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
11,train,client_011_train.npz,client_011_val.npz,,user_1013.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",13331,2,244,180,48,0,6,16,16,"[0, 0, 6, 31, 35, 0, 0, 8, 66, 34, 0]","[0, 0, 3, 8, 9, 0, 0, 2, 17, 9, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
12,test,,,client_012_test.npz,user_1014.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",24921,2,443,0,0,443,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
13,test,,,client_013_test.npz,user_1015.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",14803,2,266,0,0,266,7,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
14,test,,,client_014_test.npz,user_1016.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7091,2,129,0,0,129,6,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
15,train,client_015_train.npz,client_015_val.npz,,user_1017.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6791,2,125,92,26,0,5,7,7,"[0, 0, 3, 17, 20, 0, 0, 0, 34, 18, 0]","[0, 0, 1, 5, 6, 0, 0, 0, 9, 5, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
16,train,client_016_train.npz,client_016_val.npz,,user_1018.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",8165,2,148,108,30,0,6,10,10,"[0, 0, 8, 20, 18, 0, 0, 6, 39, 17, 0]","[0, 0, 2, 5, 6, 0, 0, 2, 10, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
17,train,client_017_train.npz,client_017_val.npz,,user_1019.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7559,2,136,98,28,0,6,10,10,"[0, 0, 4, 18, 15, 0, 0, 6, 38, 17, 0]","[0, 0, 2, 5, 4, 0, 0, 2, 10, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
18,train,client_018_train.npz,client_018_val.npz,,user_1020.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6769,2,125,91,26,0,6,8,8,"[0, 0, 1, 18, 15, 0, 0, 2, 35, 20, 0]","[0, 0, 1, 5, 4, 0, 0, 1, 10, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
19,test,,,client_019_test.npz,user_1021.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",8346,2,151,0,0,151,7,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
20,train,client_020_train.npz,client_020_val.npz,,user_1022.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",22899,2,409,291,85,0,7,33,33,"[0, 0, 6, 51, 34, 0, 0, 23, 106, 52, 19]","[0, 0, 5, 14, 10, 0, 0, 6, 29, 15, 6]","[2, 3, 4, 7, 8, 9, 10]","[2, 3, 4, 7, 8, 9, 10]",[],[],[],"[2, 3, 4, 7, 8, 9, 10]","[2, 3, 4, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
21,train,client_021_train.npz,client_021_val.npz,,user_1023.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",12129,2,213,147,46,0,10,20,20,"[13, 13, 6, 17, 18, 1, 0, 7, 34, 17, 21]","[4, 4, 2, 5, 5, 1, 0, 2, 10, 5, 8]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
22,test,,,client_022_test.npz,user_1024.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",17864,2,305,0,0,305,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
23,train,client_023_train.npz,client_023_val.npz,,user_1025.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7859,2,143,101,31,0,7,11,11,"[0, 0, 1, 17, 23, 2, 0, 6, 35, 17, 0]","[0, 0, 1, 5, 6, 2, 0, 2, 10, 5, 0]","[2, 3, 4, 5, 7, 8, 9]","[2, 3, 4, 5, 7, 8, 9]",[],[],[],"[2, 3, 4, 5, 7, 8, 9]","[2, 3, 4, 5, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
24,train,client_024_train.npz,client_024_val.npz,,user_1026.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",19776,2,353,249,74,0,10,30,30,"[13, 13, 10, 36, 27, 2, 0, 11, 71, 35, 31]","[4, 3, 4, 10, 8, 2, 0, 4, 20, 10, 9]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
25,train,client_025_train.npz,client_025_val.npz,,user_1027.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",12256,2,216,151,45,0,10,20,20,"[13, 12, 3, 18, 26, 1, 0, 4, 35, 17, 22]","[3, 3, 2, 5, 7, 1, 0, 2, 10, 5, 7]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
26,train,client_026_train.npz,client_026_val.npz,,user_1028.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5450,2,99,72,21,0,4,6,6,"[0, 0, 3, 18, 0, 0, 0, 0, 34, 17, 0]","[0, 0, 2, 5, 0, 0, 0, 0, 9, 5, 0]","[2, 3, 8, 9]","[2, 3, 8, 9]",[],[],[],"[2, 3, 8, 9]","[2, 3, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
27,train,client_027_train.npz,client_027_val.npz,,user_1029.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6616,2,123,91,26,0,4,6,6,"[0, 0, 0, 17, 19, 0, 0, 0, 38, 17, 0]","[0, 0, 0, 5, 6, 0, 0, 0, 10, 5, 0]","[3, 4, 8, 9]","[3, 4, 8, 9]",[],[],[],"[3, 4, 8, 9]","[3, 4, 8, 9]",20.100502512562816,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
28,train,client_028_train.npz,client_028_val.npz,,user_1030.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",8022,2,146,106,30,0,6,10,10,"[0, 0, 6, 18, 23, 0, 0, 4, 38, 17, 0]","[0, 0, 2, 5, 6, 0, 0, 2, 10, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
29,train,client_029_train.npz,client_029_val.npz,,user_1031.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",9194,2,166,117,35,0,5,14,14,"[0, 0, 0, 17, 16, 0, 0, 0, 37, 17, 30]","[0, 0, 0, 5, 4, 0, 0, 0, 10, 5, 11]","[3, 4, 8, 9, 10]","[3, 4, 8, 9, 10]",[],[],[],"[3, 4, 8, 9, 10]","[3, 4, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
30,train,client_030_train.npz,client_030_val.npz,,user_1032.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",4909,2,94,70,20,0,3,4,4,"[0, 0, 0, 19, 0, 0, 0, 0, 34, 17, 0]","[0, 0, 0, 5, 0, 0, 0, 0, 10, 5, 0]","[3, 8, 9]","[3, 8, 9]",[],[],[],"[3, 8, 9]","[3, 8, 9]",20.2020202020202,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
31,train,client_031_train.npz,client_031_val.npz,,user_1033.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",4949,2,93,69,20,0,3,4,4,"[0, 0, 0, 17, 0, 0, 0, 0, 35, 17, 0]","[0, 0, 0, 5, 0, 0, 0, 0, 10, 5, 0]","[3, 8, 9]","[3, 8, 9]",[],[],[],"[3, 8, 9]","[3, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
32,train,client_032_train.npz,client_032_val.npz,,user_1034.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",22608,2,400,283,81,0,9,36,36,"[10, 9, 17, 36, 28, 0, 0, 11, 73, 34, 65]","[3, 3, 4, 9, 8, 0, 0, 4, 20, 10, 20]","[0, 1, 2, 3, 4, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
33,train,client_033_train.npz,client_033_val.npz,,user_1035.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",1514,2,23,13,5,0,1,5,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]",[10],[10],[],[],[],[10],[10],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
34,train,client_034_train.npz,client_034_val.npz,,user_1036.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",10543,2,185,127,40,0,9,18,18,"[10, 9, 2, 18, 9, 0, 0, 5, 36, 14, 24]","[3, 3, 2, 5, 3, 0, 0, 2, 10, 4, 8]","[0, 1, 2, 3, 4, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
35,test,,,client_035_test.npz,user_1037.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",12854,2,227,0,0,227,9,0,0,[],[],[],[],[],[],[],[],[],20.408163265306122,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
36,test,,,client_036_test.npz,user_1038.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",10171,2,176,0,0,176,9,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
37,train,client_037_train.npz,client_037_val.npz,,user_1039.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",21716,2,383,271,78,0,9,34,34,"[13, 13, 4, 39, 31, 0, 0, 9, 74, 35, 53]","[4, 4, 4, 10, 8, 0, 0, 2, 20, 10, 16]","[0, 1, 2, 3, 4, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
38,train,client_038_train.npz,client_038_val.npz,,user_1040.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",19494,2,342,240,72,0,10,30,30,"[14, 13, 2, 35, 28, 4, 0, 18, 72, 34, 20]","[4, 3, 2, 10, 8, 4, 0, 4, 20, 10, 7]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
39,train,client_039_train.npz,client_039_val.npz,,user_1041.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",16091,2,286,203,59,0,9,24,24,"[16, 11, 10, 17, 10, 0, 0, 11, 70, 35, 23]","[4, 3, 4, 5, 3, 0, 0, 3, 20, 10, 7]","[0, 1, 2, 3, 4, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
40,train,client_040_train.npz,client_040_val.npz,,user_1042.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",14249,2,247,170,51,0,8,26,26,"[26, 23, 4, 17, 0, 0, 0, 6, 34, 17, 43]","[7, 6, 2, 5, 0, 0, 0, 2, 10, 5, 14]","[0, 1, 2, 3, 7, 8, 9, 10]","[0, 1, 2, 3, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 7, 8, 9, 10]","[0, 1, 2, 3, 7, 8, 9, 10]",20.408163265306122,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
41,test,,,client_041_test.npz,user_1043.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",14296,2,245,0,0,245,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
42,train,client_042_train.npz,client_042_val.npz,,user_1044.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",16190,2,276,187,57,0,9,32,32,"[17, 17, 2, 17, 3, 0, 7, 0, 34, 18, 72]","[5, 4, 1, 5, 1, 0, 6, 0, 10, 5, 20]","[0, 1, 2, 3, 4, 6, 8, 9, 10]","[0, 1, 2, 3, 4, 6, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 6, 8, 9, 10]","[0, 1, 2, 3, 4, 6, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
43,train,client_043_train.npz,client_043_val.npz,,user_1045.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",11747,2,206,146,40,0,10,20,20,"[13, 13, 4, 17, 18, 2, 0, 9, 34, 17, 19]","[3, 3, 1, 4, 4, 2, 0, 2, 9, 5, 7]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
44,train,client_044_train.npz,client_044_val.npz,,user_1046.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",12403,2,216,151,44,0,10,21,21,"[16, 13, 4, 17, 15, 2, 0, 4, 33, 17, 30]","[4, 4, 2, 5, 4, 2, 0, 2, 9, 5, 7]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",20.408163265306122,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
